NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP;REFERENZ
Hochschule für Gesundheit - University of Applied;;Gesundheitscampus;6-8;44801;Bochum;DEU;HOUSE;1808
Hochschule Geisenheim;;Von-Lade-Straße;1;65366;Geisenheim;DEU;HOUSE;1723
Fachhochschule für Verwaltung und Dienstleistung ;;Rehmkamp;10;24161;Altenholz;DEU;HOUSE;1716
Folkwang Universität der Künste;;Klemensborn;39;45224;Essen;DEU;HOUSE;1694
Fachhochschule Westküste, Hochschule für Wirtscha;;Fritz-Thiedemann-Ring;20;25746;Heide;DEU;HOUSE;1572
Kommunale Hochschule für Verwaltung in Niedersach;;Wielandstraße;8;30169;Hannover;DEU;HOUSE;1561
Hochschule der Bundesagentur für Arbeit - Staatli;;Seckenheimer Landstraße;16;68163;Mannheim;DEU;HOUSE;1543
Hochschule der Polizei Rheinland-Pfalz;;Hunsrück;Drive;55491;Büchenbeuren;DEU;HOUSE;1511
Hochschule für Musik und Theater Hamburg;;Harvestehuder Weg;12;20148;Hamburg;DEU;HOUSE;1462
Hochschule für Musik und Tanz Köln;;Unter Krahnenbäumen;87;50668;Köln;DEU;HOUSE;1457
Hochschule für Musik, Theater und Medien Hannover;;Neues Haus;1;30175;Hannover;DEU;HOUSE;1441
Hochschule für öffentliche Verwaltung Kehl;;Kinzigallee;1;77694;Kehl;DEU;HOUSE;1421
Duale Hochschule Gera-Eisenach;;Weg der Freundschaft;4;7546;Gera;DEU;HOUSE;1395
Burg Giebichenstein Kunsthochschule Halle;;Neuwerk;7;6003;Halle;DEU;HOUSE;1187
Hochschule für Musik und Theater München;;Arcisstraße;12;80333;München;DEU;HOUSE;1167
Hochschule für Musik und Theater Felix Mendelssoh;;Grassistraße;8;4008;Leipzig;DEU;HOUSE;1130
Hochschule für öffentliche Verwaltung und Rechtsp;;Herbert-Böhme-Straße;11;1662;Meißen;DEU;HOUSE;1035
Fachhochschule für Finanzen Brandenburg;;Schillerstraße;6;15711;Königs Wusterhausen;DEU;HOUSE;978
Hochschule für Künste Bremen;;Am Speicher XI;8;28217;Bremen;DEU;HOUSE;978
Hochschule für Bildende Künste Hamburg;;Lerchenfeld;2;22081;Hamburg;DEU;HOUSE;964
Hochschule für Bildende Künste Braunschweig;;Johannes-Selenka-Platz;1;38015;Braunschweig;DEU;HOUSE;951
Hochschule für Forstwirtschaft Rottenburg;;Schadenweilerhof;;72108;Rottenburg;DEU;HOUSE;948
Filmuniversität Babelsberg Konrad Wolf;;Marlene-Dietrich-Allee;11;14437;Potsdam;DEU;HOUSE;942
Hochschule für öffentliche Verwaltung Rheinland-P;;St.-Veit-Straße;26-28;56727;Mayen;DEU;HOUSE;912
Hochschule für Musik und Darstellende Kunst Frank;;Eschersheimer Landstraße;29-39;60322;Frankfurt am Main;DEU;HOUSE;907
Robert-Schumann-Hochschule Düsseldorf;;Fischerstraße;110;40476;Düsseldorf;DEU;HOUSE;888
Fachhochschule für Rechtspflege Nordrhein-Westfal;;Schleidtalstraße;3;53902;Bad Münstereifel;DEU;HOUSE;887
weißensee kunsthochschule berlin;;Bühringstraße;20;13086;Berlin;DEU;HOUSE;849
Staatliche Akademie der Bildenden Künste Stuttgar;;Am Weißenhof;1;70191;Stuttgart;DEU;HOUSE;830
Fachhochschule der Verwaltung des Saarlandes;;Am Campus;7;66287;Quierschied;DEU;HOUSE;802
Hochschule für Gestaltung Offenbach;;Schloßstraße;31;63065;Offenbach;DEU;HOUSE;786
Fachhochschule der Polizei Brandenburg;;Bernauer Str.;146;16515;Oranienburg;DEU;HOUSE;763
Staatliche Hochschule für Musik und Darstellende ;;Urbanstraße;25;70182;Stuttgart;DEU;HOUSE;759
Hochschule für Musik Carl Maria von Weber Dresden;;Wettiner Platz;13;1001;Dresden;DEU;HOUSE;748
Akademie der Bildenden Künste München;;Akademiestraße;2-4;80799;München;DEU;HOUSE;746
Hochschule für Musik Franz Liszt Weimar;;Platz der Demokratie;2/3;99406;Weimar;DEU;HOUSE;739
Hochschule für Rechtspflege Schwetzingen;;Karlsruher Straße;2;68723;Schwetzingen;DEU;HOUSE;716
Fachhochschule Polizei Sachsen-Anhalt;;Schmidtmannstraße;86;6449;Aschersleben;DEU;HOUSE;705
Hochschule für Gestaltung Schwäbisch Gmünd;;Rektor-Klaus-Str.;100;73503;Schwäbisch Gmünd;DEU;HOUSE;698
Fachhochschule für öffentliche Verwaltung, Polize;;Goldberger Straße;12-13;18273;Güstrow;DEU;HOUSE;669
Hochschule für Finanzen Rheinland-Pfalz;;Luitpoldstraße;33;67480;Edenkoben;DEU;HOUSE;666
Hochschule für Musik Detmold;;Neustadt;22;32756;Detmold;DEU;HOUSE;652
Hochschule für Öffentliche Verwaltung Bremen;;Doventorscontrescarpe;172c;28195;Bremen;DEU;HOUSE;648
Thüringer Fachhochschule für öffentliche Verwaltu;;Bahnhofstraße;12;99867;Gotha;DEU;HOUSE;641
Hochschule der Sächsischen Polizei (FH);;Friedensstraße;120;2929;Rothenburg;DEU;HOUSE;640
Hochschule für Musik Freiburg;;Mendelssohn-Bartholdy-Platz;1;79095;Freiburg;DEU;HOUSE;610
Staatliche Hochschule für Musik und Darstellende ;;N 7,;18;68161;Mannheim;DEU;HOUSE;598
Akademie der Polizei Hamburg;;Carl-Cohn-Straße;39;22297;Hamburg;DEU;HOUSE;582
Hochschule für Musik Karlsruhe;;Am Schloss Gottesaue;7;76040;Karlsruhe;DEU;HOUSE;571
Kunstakademie Düsseldorf;;Eiskellerstraße;1;40213;Düsseldorf;DEU;HOUSE;569
Hochschule für Musik Hanns Eisler Berlin;;Charlottenstraße;55;10117;Berlin;DEU;HOUSE;555
Hochschule für Musik Würzburg;;Hofstallstraße;6-8;97070;Würzburg;DEU;HOUSE;555
Hochschule für Bildende Künste Dresden;;Güntzstraße;34;1287;Dresden;DEU;HOUSE;554
Muthesius Kunsthochschule;;Legienstraße;35;24103;Kiel;DEU;HOUSE;554
Hochschule für Musik und Theater Rostock;;Beim St.-Katharinenstift;8;18055;Rostock;DEU;HOUSE;532
Hochschule für Grafik und Buchkunst Leipzig;;Wächterstraße;11;4008;Leipzig;DEU;HOUSE;524
