NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP;REFERENZ
HAWK Hochschule für angewandte Wissenschaft und K;;Hohnsen;4;31134;Hildesheim;DEU;HOUSE;6325
Europa-Universität Flensburg;;Auf dem Campus;1;24943;Flensburg;DEU;HOUSE;6256
Pädagogische Hochschule Ludwigsburg;;Reuteallee;46;71602;Ludwigsburg;DEU;HOUSE;6097
Hochschule Mittweida, University of Applied Scien;;Technikumplatz;17;9644;Mittweida;DEU;HOUSE;6079
Hochschule  für  angewandte  Wissenschaften  Weih;;Am Hofgarten;4;85354;Freising;DEU;HOUSE;6027
Hochschule Ruhr West- University of Applied Scien;;Duisburger Straße;100;45407;Mülheim;DEU;HOUSE;5999
Technische Hochschule Ostwestfalen-Lippe ;;Campusallee;12;32657;Lemgo;DEU;HOUSE;5960
Deutsche Sporthochschule Köln;;Am Sportpark Müngersdorf;6;50927;Köln;DEU;HOUSE;5949
Hochschule für Technik und Wirtschaft des Saarlan;;Goebenstraße;40;66140;Saarbrücken;DEU;HOUSE;5942
Universität zu Lübeck;;Ratzeburger Allee;160;23562;Lübeck;DEU;HOUSE;5931
Universität Erfurt;;Nordhäuser Straße;63;99105;Erfurt;DEU;HOUSE;5897
Hochschule Kaiserslautern (University of Applied ;;Schoenstr.;11;67604;Kaiserslautern;DEU;HOUSE;5846
Hochschule Pforzheim - Gestaltung, Technik, Wirts;;Tiefenbronner Straße;65;75175;Pforzheim;DEU;HOUSE;5654
Hochschule der Medien Stuttgart;;Nobelstraße;10;70569;Stuttgart;DEU;HOUSE;5637
Hochschule Mainz;;Lucy-Hillebrand-Straße;2;55009;Mainz;DEU;HOUSE;5621
Hochschule für Wirtschaft und Umwelt Nürtingen-Ge;;Neckarsteige;6-10;72622;Nürtingen;DEU;HOUSE;5411
Hochschule Mannheim;;Paul-Wittsack-Straße;10;68163;Mannheim;DEU;HOUSE;5347
Pädagogische Hochschule Heidelberg;;Keplerstraße;87;69032;Heidelberg;DEU;HOUSE;5260
Hochschule Magdeburg-Stendal;;Breitscheidstraße;2;39011;Magdeburg;DEU;HOUSE;5258
Hochschule Furtwangen - Informatik, Technik, Wirt;;Robert-Gerwig-Platz;1;78113;Furtwangen;DEU;HOUSE;5216
Technische Hochschule Lübeck;;Mönkhofer Weg;239;23562;Lübeck;DEU;HOUSE;5138
Hochschule Hamm-Lippstadt;;Marker Allee;76-78;59063;Hamm;DEU;HOUSE;5134
Hochschule für angewandte Wissenschaften Kempten;;Bahnhofstraße;61;87406;Kempten;DEU;HOUSE;5056
Hochschule Aalen - Technik und Wirtschaft;;Beethovenstraße;1;73428;Aalen;DEU;HOUSE;5035
Hochschule Reutlingen, Hochschule für Technik-  W;;Alteburgstraße;150;72762;Reutlingen;DEU;HOUSE;4977
