NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP
Chaostreff Flensburg e.V.;;Apenrader Str.;49;24939;Flensburg;DEU;HOUSE
Universität Bayreuth;Gebäude NW2 Fachschaft Mathematik/Physik/Informati;Universitätsstraße ;30;95447;Bayreuth;DEU;HOUSE
Vivian Jehle;;Zehdenicker Str. ;11;10119;Berlin;DEU;HOUSE
Lars Fischer;;An der Karlstadt;8;27568;Bremerhaven;DEU;HOUSE
FSI Informatik;Institut für Informatik;Takustr;9;14195;Berlin;DEU;HOUSE
Hochschule für Musik und Theater Hamburg;;Harvestehuder Weg;12;20148;Hamburg;DEU;HOUSE
